iter	RMSE
0	0.403364133
1	0.3719676237
2	0.3441819237
3	0.3185040501
4	0.2953082451
5	0.2746580776
6	0.2557147017
7	0.2382125891
8	0.2227910614
9	0.2090843017
10	0.1961304326
11	0.1843591987
12	0.1735405806
13	0.1639090915
14	0.1557673799
15	0.1480128866
16	0.1411712806
17	0.1349703936
18	0.1291869545
19	0.1237897941
20	0.1189525906
21	0.1146650393
22	0.110498477
23	0.1068778207
24	0.1035203812
25	0.100321632
26	0.09754518647
27	0.09480038108
28	0.09248362157
29	0.09022040675
30	0.08810396276
31	0.08611532641
32	0.08434145088
33	0.08259876738
34	0.08105193178
35	0.07966157463
36	0.07827530082
37	0.07707175091
38	0.07594515481
39	0.07475420699
40	0.07370886491
41	0.07277542629
42	0.07188841537
43	0.071067474
44	0.07024550777
45	0.06955479904
46	0.06881790518
47	0.06819431452
48	0.06755958159
49	0.06696105674
50	0.06640393051
51	0.06590076749
52	0.06543815576
53	0.06503963373
54	0.06465229129
55	0.06430548573
56	0.06395584602
57	0.06357581185
58	0.06324292952
59	0.06296786686
60	0.06270866253
61	0.06243345496
62	0.06217956129
63	0.06195352953
64	0.06168520259
65	0.06146235448
66	0.06123558443
67	0.06100984924
68	0.06082535852
69	0.06065974888
70	0.06048965049
71	0.06030423748
72	0.0601050087
73	0.05992662245
74	0.05979975138
75	0.05964810554
76	0.05941150548
77	0.05929763373
78	0.05918679836
79	0.05895559095
80	0.05883086194
81	0.05868925099
82	0.05850933701
83	0.05833386496
84	0.0581677865
85	0.05805412593
86	0.05797318213
87	0.05786544879
88	0.05775616731
89	0.05759943291
90	0.05748857388
91	0.05738274998
92	0.05730641879
93	0.05719030498
94	0.05707110854
95	0.05699122364
96	0.05689949501
97	0.05684000043
98	0.05675389133
99	0.05666770333
